lumberjack lumberman timberman
bridget brigid
arbitrager arb arbitrageur
busby shako
untie unlace
toppingly marvellously marvelously superbly terrifically wonderfully wondrously
decimalisation decimalization
irreligiousness irreligion
caesaropapism byzantinism erastianism
eerie eery
psychoanalytic psychoanalytical
suffrutex subshrub
ull ullr
darkie darkey darky
penniless impecunious
ketonuria acetonuria ketoaciduria
diametric diametrical
albinic albinal albinistic albinotic
rollickingly boisterously
ult ultimo
silver-lace silverlace
preconception prepossession
steepness precipitousness
procrastinator cunctator postponer
saprophagous saprozoic
mecholyl methacholine
eosin bromeosin
cheerio adieu adios arrivederci bye-bye good-by good-bye goodby goodbye sayonara
daft barmy bats batty bonkers crackers kookie kooky loco loopy nuts
fuzee fusee
preclusion forestalling obviation
fabricated fancied invented
ganapati ganesa ganesh ganesha
heartache brokenheartedness heartbreak
ill-omened ill-fated ill-starred
tevet tebet
unwedded unwed
handbreath handsbreadth
recommencement resumption
donnish pedantic
belabor belabour
carrageenan carrageenin
clothier haberdasher
theatregoer playgoer theatergoer
seamanly seamanlike
copolymerise copolymerize
dago greaseball wop
stravinskian stravinskyan
garrulity garrulousness loquaciousness loquacity talkativeness
daybreak cockcrow dawning dayspring sunup
ormer sea-ear
detribalization detribalisation
haemostat hemostat
tight-laced priggish prudish straightlaced straitlaced
nonalignment nonalinement
unh unnilhexium
vial ampoule ampul ampule phial
trichrome trichromatic
uncultivable uncultivatable
sinner evildoer
parthenogenesis parthenogeny
cigarfish quiaquia
unp hahnium unnilpentium unnilquintium
unq ku kurchatovium rf rutherfordium unnilquadium
syphilis syph
uns unnilseptium
hydrometry gravimetry
spirochaete spirochete
enjoinment enjoining
gladdened exhilarated
swordtail helleri
abutting adjoining bordering
megacephaly macrocephaly megalocephaly
counterpoise counterweight
miniaturisation miniaturization
renovator preserver refinisher restorer
connecter connector
aizoaceae tetragoniaceae
convertor converter
testiness tetchiness touchiness
state-controlled collectivistic
thessalonika salonika
eighter octad octonary ogdoad
verandah veranda
extricate disencumber
palaetiology paletiology
jesus redeemer
coccygeal coccal
j joule
helicopter whirlybird
jotun jotunn
p phosphorus
specter spectre
extroversive extraversive
repentantly penitentially penitently
uncurbed unbridled unchecked
x ten
heaped-up heaped piled
thermoelectric thermoelectrical
jihad jehad
imbed embed
dais ambo podium pulpit
vinous vinaceous
psychotropic psychoactive
begild engild
indocile ungovernable
archeological archaeologic archaeological archeologic
myofibril myofibrilla sarcostyle
sternutation sneezing
hydrolise hydrolize
interchangeableness exchangeability interchangeability
spermatophyte phanerogam
akvavit aquavit
gymnospermae gymnospermophyta
cleistocarp cleistothecium
phenobarbital luminal phenobarbitone
hydrocortisone cortisol
rust-free unrusted
lobscuse lobscouse scouse
boondocks hinterland
cacomistle bassarisk cacomixle
aestivation estivation
autophytic autotrophic
choson korea
victimization using victimisation
westernmost westmost
nonviscid nonglutinous
bloke geezer
bellflower campanula
attacker assailant
covalence covalency
celoma celom coelom
uncommunicative incommunicative
fervidness fervency fervor fervour
polytetrafluoroethylene teflon
consanguine blood-related consanguineous
linguine linguini
aquicultural aquacultural hydroponic
linguini linguine
whirlybird helicopter
dexterity sleight
obsessivity obsessiveness
covalency covalence
mouldboard moldboard
urd urth
narcism narcissism
internationalisation internationalization
anodal anodic
peculator embezzler
brunet brunette
unbarrelled unbarreled
siphon syphon
narcist narcissist
wrestler matman
unlabelled unlabeled untagged
benignantly benignly
satureia satureja
fibreglass fiberglass
canvasser scrutineer
actinaria actiniaria
tactual tactile
tortuousness tortuosity
catamenial menstrual
terrycloth terry
cuttle cuttlefish
jimsonweed jimpsonweed
timeworn hackneyed trite
petrol gasolene gasoline
hymenopteran hymenopteron hymnenopter
spurring goading prodding
ladybeetle ladybird ladybug
deuteromycotina deuteromycota
aureomycin chlortetracycline
chubby zaftig zoftig
consuetudinary consuetudinal
satureja satureia
monestrous monoestrous
flopping flapping
preclusive obviating
hangzhou hangchow
toad toadfrog
dispiritedness downheartedness low-spiritedness
taleteller blabbermouth talebearer tattletale
enthral enrapture enthrall
gasolene gasoline petrol
complaisance compliancy obligingness
blond blonde
dana danu
voteless disenfranchised disfranchised
approbative approbatory
dank clammy
utu utug
arhant arhat lohan
copolymerize copolymerise
nanking nanjing
danu dana
frowsy frowzy slovenly
step-by-step bit-by-bit
patronising condescending patronizing
pampered coddled
divertingly amusingly
ascendant ascendent
nonmedicinal unmedical unmedicative unmedicinal
hoity-toity hifalutin highfalutin highfaluting la-di-da
peculation defalcation embezzlement
arbitrageur arb arbitrager
ever-changing changing
dicotyledon dicot magnoliopsid
carrageenin carrageenan
galeras pasto
febricity feverishness pyrexia
inconsiderateness inconsideration
disharmonious inharmonic
elamitic susian
carrageen carageen carragheen
bedrid bedfast bedridden sick-abed
begird girt
jimdandy crackerjack jimhickey
viii eight
clothing clothes
osmitrol mannitol
mangy mangey
urochordata tunicata urochorda
mocassin moccasin moccasins
encomium eulogy
fluorescein fluoresceine resorcinolphthalein
urochordate tunicate
lipoid lipid lipide
towny townie
acinose acinic acinous
anglerfish allmouth goosefish lotte
peerless matchless unmatchable unrivaled unrivalled
grandaunt great-aunt
nonchalant insouciant
wondrously marvellously marvelously superbly terrifically toppingly wonderfully
hypersensitized hypersensitive sensitized supersensitive supersensitized
one-man one-person one-woman
paleology palaeology
memo memoranda memorandum
anodyne analgesic
artifactual artefactual
chamaeleontidae chamaeleonidae rhiptoglossa
inheritor heritor
machete matchet panga
hydrolize hydrolise
zealotry fanaticism
kirgizia kirghizia kirghizstan kirgizstan kyrgystan
impresario showman
fabricator fibber
chump patsy schlemiel shlemiel
forbearing longanimous
alizarine alizarin
engrossing absorbing gripping riveting
dinghy rowboat
forte-piano pianoforte
submersion submergence submerging
counterweight counterpoise
jangling jangly
machine-driven automated machine-controlled
rifling grooving
imposingly impressively
peony paeony
paediatrician pediatrician pediatrist
attainability achievability attainableness
unnecessary unneeded
doyly doily doyley
crestfallen chapfallen chopfallen
hypercapnia hypercarbia
substituting subbing
incased encased
dard dardic
surfing surfboarding surfriding
hanger-on tagalong
excitant excitative excitatory
oruvail ketoprofen orudis
inconceivableness inconceivability
connector connecter
tadzhikistan tadjik tadzhik tajik tajikistan
toff nob
ribband riband
acinous acinic acinose
amoeban ameban amebic amebous amoebic amoebous
salesroom saleroom showroom
dermatologic dermatological
voluminousness voluminosity
landlubber landsman
pirana caribe piranha
petromyzoniformes hyperoartia
apiarist apiculturist beekeeper
sauteing frying
heedfully advertently mindfully
adjudicatory adjudicative
dishevelled disheveled frowzled tousled
damozel damoiselle damosel damsel
anodic anodal
keratin ceratin
openhandedness magnanimity munificence
lithoglyptics glyptics
crossroad carrefour crossway
kitty-cornered cata-cornered catacorner cater-cornered catercorner catty-corner catty-cornered kitty-corner
practicability practicableness
conceivability conceivableness
photoflash flashbulb flashgun
narcissism narcism
togs duds threads
rhiptoglossa chamaeleonidae chamaeleontidae
finality conclusiveness
collarbone clavicle
evildoing transgression
narcissist narcist
bilharziasis bilharzia schistosomiasis
confronting braving tackling
lovesome affectionate
arthrosporous arthrosporic
tumescence tumidity tumidness
effeminateness effeminacy sissiness unmanliness womanishness
clostridia clostridium
rube bumpkin chawbacon hayseed yokel
azathioprine imuran
effacement self-effacement
lethality deadliness
dingle dell
bumpkin chawbacon hayseed rube yokel
unlicenced unaccredited unlicensed
arikara aricara
undiminished unrelieved
inexorability inexorableness relentlessness
bacteriological bacteriologic
helleri swordtail
gettable getable
decentralisation decentralization
blastosphere blastula
mailed mail-clad
merl merle ousel ouzel
frowzy frowsy slovenly
calciferol cholecarciferol ergocalciferol
sharper chiseler chiseller gouger swindler
spectre specter
logistician logician
importing importation
accoutred accoutered
saxifrage breakstone rockfoil
cesspit cesspool
berried bacciferous
ullr ull
favorite favourite
shaddock pomelo
baptistry baptistery
cumulonimbus thundercloud
archeologist archaeologist
yashmac yashmak
impacted wedged
sizable sizeable
homicidal murderous
unflavoured nonflavored nonflavoured unflavored
yashmak yashmac
vulgarization coarsening popularisation vulgarisation
rattled flustered perturbed
pibgorn stockhorn
purloined stolen
amoxicillin amoxil
retraction abjuration recantation
rambunctious robustious rumbustious
horseshoer farrier
horseshoes quoits
stratford-on-avon stratford-upon-avon
impanel empanel
endermic endermatic
adactylia adactylism adactyly
consoling consolatory
meth deoxyephedrine methamphetamine methedrine
low-cal lite
peruked periwigged
ecstatic rapturous rhapsodic
overplay overact
uppish bigheaded snooty stuck-up
cenobitical cenobitic coenobitic coenobitical
churrigueresque churrigueresco
provokingly provocatively
unfalteringly unshakably
mouthless astomatous
subsidization subsidisation
old-hat demode passe passee
snowplow snowplough
umteenth umpteenth umptieth
foulmart fitch foumart
exodontia exodontics
skirting encircling
haphazardness randomness
opulently sumptuously
kooky barmy bats batty bonkers crackers daft kookie loco loopy nuts
boulder bowlder
annular annulate annulated circinate ring-shaped
globularness globosity rotundity sphericalness sphericity
sunnily cheerily
lathi lathee
pundit savant
unlooked-for unanticipated
interdependent mutualist
esthetic aesthetic
rickshaw jinrikisha ricksha
tarawa-makin makin tarawa
cowpox vaccinia
aortal aortic
devitalization devitalisation
u-boat pigboat
weeny bittie bitty teensy teensy-weensy teentsy teeny weensy
self-fertilized self-pollinated
pleven plevna
dissembler hypocrite
plowed ploughed
submaxilla jowl mandible mandibula
kazak kazakh
pugnacity contentiousness quarrelsomeness
eightvo octavo
mazzard gean
venice venezia
daffo bokkos ron
desegregation integrating
relentless unrelenting
combustive comburant comburent
disparager depreciator detractor
mantidae manteidae
tenaciousness doggedness perseverence persistency pertinacity tenacity
unnotched untoothed
eerily spookily
sauciness archness pertness
antilog antilogarithm
amoebic ameban amebic amebous amoeban amoebous
seductively temptingly
melastomaceae melastomataceae
eight viii
putative purported reputed
zygnematales zygnemales
mewl pule
tantric tantrik
alupent metaproterenol
stalino donetsk
fondu fondue
tantrik tantric
sea-ear ormer
smogginess smog
entireness entirety
incertitude dubiety
columbarium birdhouse dovecote
mahlstick maulstick
pull-in pull-up
incarceration immurement
tons dozens gobs lashings loads lots oodles piles rafts scads scores slews wads
ruction ruckus
skeptically sceptically
unmixable immiscible
hooved hoofed ungulated
democratisation democratization
chilblain chilblains pernio
hymenopteron hymenopteran hymnenopter
uterus womb
scandalisation scandalization
constantinople istanbul stamboul stambul
goalie goalkeeper goaltender netkeeper
cock-a-hoop boastful braggy self-aggrandizing
praiseworthy applaudable laudable
monecious monoecious
recruitment enlisting
tactually haptically
sideward sidewards
credibility believability credibleness
mansi vogul
tryptophan tryptophane
algarobilla algarrobilla
calabura silkwood
proturan telsontail
side-glance side-look
prudish priggish straightlaced straitlaced tight-laced
aurous auric
eolotropic aeolotropic
disappointed foiled thwarted
musicality musicalness
comose comate
gangling gangly lanky
finalization finalisation
var volt-ampere
unsnarled loosened
felafel falafel
postulational axiomatical
surprisingness unexpectedness
fengtien moukden mukden shenyang
continuousness ceaselessness incessancy incessantness
fostering fosterage
leaved leafed
politely courteously
heiress inheritress inheritrix
unpresentable unprepossessing
conventionalized stylised stylized
calan isoptin verapamil
leaver departer goer
cocky-leeky cock-a-leekie
traitorously faithlessly treacherously treasonably
voluminosity voluminousness
bacchanalian bacchic carousing
railroader railwayman trainman
tops a-one tiptop topnotch
parodist lampooner
aspergillales eurotiales
topv opv
trichromatic trichrome
phosphorous phosphoric
closedown shutdown
anaemic anemic
separable dissociable severable
arishth margosa neem
gauntness boniness emaciation
plastering daubing
hirsuteness hirsutism
theoretician theorist
milksop milquetoast pantywaist
thirty-something mid-thirties
meteoritical meteoritic
manus mauler
methylphenidate ritalin
hibernal brumal hiemal
habilimented appareled attired garbed garmented robed
nonobligatory nonmandatory
hand-loomed handwoven
eskimo esquimau
exhortatory exhortative hortative hortatory
self-assured self-confident
tientsin tianjin
priest-doctor shaman
dismayed aghast appalled shocked
beseem befit
cardcastle cardhouse
emergent nascent
autogyro autogiro gryoplane
sulfa sulfonamide sulpha
agenesia agenesis
coulter colter
ill-used put-upon victimized
hierarchical hierarchal hierarchic
suffusion permeation pervasion
protoarchaeology protoarcheology
incipient inchoate
ampere-second coulomb
watchfully vigilantly
bullbrier catbrier greenbrier horsebrier
counsellor counselor
voicelessness aphonia
suitor wooer
conversational colloquial
afeared afeard
agenesis agenesia
vendition hawking peddling vending
millepede milliped millipede
bloodroot redroot tetterwort
double-dealer double-crosser
hyaena hyena
ulysses odysseus
dafla abor miri mirish
boggy marshy miry quaggy sloughy swampy
addle-head birdbrain
thermoset thermosetting
ginkgophytina ginkgophyta ginkgopsida
tosh baloney bilgewater boloney bosh tommyrot
grey-headed gray-haired gray-headed grey-haired
urine weewee
eye-lotion collyrium eyewash
crumbliness friability
premonitory precursory
styracosaurus styracosaur
swingletree whiffletree whippletree
inexhaustibly indefatigably tirelessly
atomistic atomistical
christiania oslo
well-fixed well-heeled well-situated well-to-do
vex annoy
athapascan athabascan athabaskan athapaskan
undecipherable unreadable
pimply acned pimpled pustulate
brokenhearted heartbroken
joule j
aortic aortal
amazement astonishment
fress gluttonize
parlour parlor
faster quicker
colorimeter colourimeter tintometer
parlous perilous touch-and-go
bogie bogy
runt half-pint
carrefour crossroad crossway
tiddly besotted blotto crocked fuddled slopped sloshed sozzled squiffy tiddley tipsy
befit beseem
undecipherably illegibly unreadably
flukey fluky iffy
third-dimensionality three-dimensionality
nosebleed epistaxis
amylaceous amyloidal starchlike
allhallows hallowmas hallowmass
vaporized gasified volatilized
provisional probationary provisionary
keister buns buttocks derriere fanny prat tooshie tush
tranquilize tranquillize
conjoined conjoint
bacteroidal bacterioid bacterioidal
wrothful wrathful wroth
neglige housecoat negligee peignoir
inpour inrush
defender protector
turko-tatar turkic
humanlike anthropomorphic anthropomorphous
paunchiness abdominousness
caldron cauldron
plevna pleven
behoove behove
full-scale all-out
unthought-of unhoped unhoped-for unthought
interconnect interlink
motorbike minibike
najadaceae naiadaceae
conversationally colloquially
tenaciously doggedly
neencephalon neoencephalon
damages indemnification
foraminifer foram
mycobacterium mycobacteria
prodding goading spurring
blameless inculpable irreproachable
dispassion dispassionateness
practician practitioner
braunschweig brunswick
quackery charlatanism
muskogean muskhogean
minuteness diminutiveness petiteness tinyness weeness
eviscerate disembowel
naias najas
leoncita tamarin
khanty ostyak
fire-resistant fire-resisting fire-resistive fire-retardant
veering swerving
panderer pandar ponce procurer
old-womanish old-maidish
delawarean delawarian
empirin aspirin bayer
desolately disconsolately
periclase magnesia
estimator figurer reckoner
quadrasonic quadraphonic quadriphonic
fetichism fetishism
sociability sociableness
sordidness squalidness squalor
immotile nonmotile
parsonage rectory vicarage
onomatopoetic onomatopoeic
veranda verandah
redox oxidation-reduction
indocin indomethacin
entomologist bug-hunter bugologist
vie compete
crystallisation crystallization
mortician undertaker
millions billions jillions trillions zillions
tutored instructed schooled taught
ethrane enflurane
vii seven
bootless fruitless
anglicise anglicize
aspheric aspherical
vip dignitary high-up panjandrum
coati coati-mondi coati-mundi
untaught unschooled untutored
mozartean mozartian
lovingly fondly
autarchic autarchical
cornstarch cornflour
anglicism britishism
eisenhower ike
draughtsman draftsperson
wheedle cajole inveigle sweet-talk
amphioxus lancelet
calif caliph kalif kaliph khalif
fragmental fragmentary
investigative fact-finding investigatory
cauterization cauterisation
broad-shouldered big-shouldered square-shouldered
ranales ranunculales
caroler caroller
nonetheless nevertheless notwithstanding
epaulette epaulet
miniaturise miniaturize
walbiri warlpiri
untested untried
ratepayer taxpayer
twinning biparous
teleostan teleost
yafo jaffa joppa
abroach broached
macroscopic macroscopical
cheerily sunnily
hypocrite dissembler
grayly greyly
broached abroach
raper rapist
contemptuously contumeliously scornfully
ruse artifice
butat butut
provisioner sutler
hypoadrenalism hypoadrenocorticism
flypast flyover
hidrosis diaphoresis perspiration sudor
meditativeness contemplativeness
rusk zwieback
obstetrician accoucheur
brunette brunet
canulation cannulation cannulization canulization
sacrilege desecration profanation
rhodesia zimbabwe
chlorophyll chlorophyl
battleship battlewagon
gravitational gravitative
irrevokable irrevocable
enfeeble debilitate
unsalable unsaleable
freya freyja
ardor ardour
urination micturition
lesotho basutoland
befog becloud
fremontia fremontodendron
butterflower buttercup crowfoot goldcup
despicableness baseness contemptibility despicability
malapropism malaprop
self-abasement self-mortification
freyr frey
ceding cession
cacodaemon cacodemon
benzine benzene benzol
doxycycline vibramycin
twenty-six xxvi
gnarly gnarled knobbed
overclothes outerwear
deutschland frg germany
pull-up pull-in
sodium na
unfettered unchained unshackled
transactions minutes
cracow krakau krakow
quatern quaternion quaternity tetrad
guaranteed bonded warranted
graylag greylag
unquestionableness indisputability indubitability unquestionability
heavenwardly heavenwards
souslik suslik
recognisable placeable
pained offended
asynergy asynergia
austereness severeness
ladyfish tenpounder
hesitatingly hesitantly
pocked pockmarked
unhearable inaudible
self-disgust self-hatred
bared bareheaded
parthenogenetic agamic agamogenetic agamous
liar prevaricator
flyswat flyswatter
laboursaving laborsaving
vacillating vacillant
despot autocrat tyrant
jetty breakwater groyne seawall
polypodiales filicales
aspirin bayer empirin
shaggycap shaggymane
rehear retry
behmenism boehmenism
importunately beseechingly entreatingly imploringly pleadingly
grouchy bad-tempered crabbed crabby grumpy ill-tempered
jagganath jagannath jagannatha
tattling talebearing
sagittiform arrow-shaped sagittate
slender-waisted slim-waisted wasp-waisted
rivulet runnel streamlet
wrymouth ghostfish
bootlicking fawning sycophantic toadyish
spasmolytic antispasmodic
teary-eyed teary watery-eyed
pandemonium topsy-turvydom topsy-turvyness
essentiality essentialness
nimiety overplus plethora superfluity
crenulate crenulated
noncombustible incombustible
alumnus alumna
lengthways lengthwise
anthropic anthropical
sasquatch bigfoot
ingloriously discreditably disgracefully dishonourably ignominiously shamefully
enantiomorph enantiomer
anglicize anglicise
flapcake battercake flannelcake flapjack hotcake pancake
stereotyped stereotypic stereotypical
pay-station pay-phone
peevishly querulously
scopolamine hyoscine
patrisib patrikin
femur femoris thighbone
cyanocobalamin cobalamin
dozen xii twelve
overplus nimiety plethora superfluity
postilion postillion
ceratosaurus ceratosaur
amenorrhea amenia amenorrhoea
dozer bulldozer
calpe gibraltar
klan kkk
unhoped-for unhoped unthought unthought-of
filamentous filamentlike threadlike
proclamation promulgation
galago bushbaby
goddam goddamned
playact roleplay
imbrication lapping
miniaturize miniaturise
shadbush shadblow
blusterer loudmouth
overlooked unnoted
naprosyn naproxen
surcease cessation
dindymene cybele
unregretting unregretful
frugal sparing stinting
insanitary unsanitary
netkeeper goalie goalkeeper goaltender
cystoplegia cystoparalysis
cinque pentad
arawakan arawak
flavoring flavorer flavourer flavouring seasoner
exploratory explorative
piddling fiddling footling niggling picayune piffling
chiromancy palmistry
lieu stead
pink-slipped dismissed fired laid-off
booklet brochure
well-nourished well-fed
saprozoic saprophagous
nonaggressive unaggressive
ignorantness nescience
semiconducting semiconductive
gasteromycete gastromycete
pseud faker imposter impostor pretender
gimcrack garish
expository expositive
agonizing excruciating harrowing torturesome torturous
trunnel treenail trenail
phantasy fantasy
carburettor carburetor
unchastened unadmonished unrebuked unreproved
ripsaw splitsaw
washup ablution
touraco turaco turacou turakoo
prohibit disallow proscribe
graecophile philhellene
cordially warmly
hardly scarcely
jillions billions millions trillions zillions
sphacele lepechinia
gerbille gerbil
domineeringness imperiousness overbearingness
metagrabolized metagrobolized mystified
pyracantha firethorn pyracanth
tevere tiber
calligrapher calligraphist
mucilaginous gluey glutinous gummy viscid
compositae asteraceae
frenchwoman frenchman
stereotypic stereotyped stereotypical
victualler victualer
blowlamp blowtorch
fragmentary fragmental
unarguable inarguable
irregardless disregarding disregardless irrespective
centralization centralisation
decoagulant anticoagulant
physician doc
hackneyed timeworn trite
seagoing oceangoing
incessantly ceaselessly unceasingly unendingly
scorned despised detested hated
reentrant re-entrant
mongolism mongolianism
unarguably undisputedly
brickle brickly
contriver deviser planner
nuprin advil ibuprofen motrin
jock athlete
kazakstan kazakhstan
fiber fibre
celt kelt
monocotyledon liliopsid monocot
dominique dominick
indigestibleness indigestibility
undecorated unadorned
nonplus dumbfound flummox
brickly brickle
caliph calif kalif kaliph khalif
trinitrotoluene tnt
bonnethead shovelhead
placeable recognisable
barmy bats batty bonkers crackers daft kookie kooky loco loopy nuts
bedsit bedsitter
unvanquished unbeaten unconquered
evoked elicited
dementedness dementia
rogaine loniten minoxidil
irak al-iraq iraq
riveting absorbing engrossing gripping
glossa lingua
chippewaian chippewyan
iraq al-iraq irak
saw-toothed serrate serrated
deemphasize destress
wood-fern woodfern
supercilium eyebrow
akha hani
carved carven
armour-clad armor-clad armor-plated armour-plated steel-plated
sprucely modishly
dramatization dramatisation
deep-rooted deep-seated implanted ingrained
indispensableness indispensability
disafforest deforest disforest
stammeringly stutteringly
velour velours
rumormonger gossiper newsmonger rumourmonger
votyak udmurt
carven carved
sulphuric sulfuric
gadolinite ytterbite
augustus octavian
scarcity scarceness
cacophonous cacophonic
calligraphic calligraphical
grannie grandma grandmother
garroter garrotter
phytologist botanist
battle-axe battle-ax
exonerate exculpate
cajole inveigle sweet-talk wheedle
dicamptodon dicamptodontid
unarbitrary nonarbitrary
ropiness glueyness gluiness gumminess viscidity viscidness
eroded scoured
she-goat nanny-goat
cassie huisache
nightfall evenfall gloaming
kopek copeck kopeck
pilsner pilsener
papistic papistical popish romanist romish
angiotensin angiotonin hypertensin
noncolumned uncolumned
astroglia macroglia
pseudoperipteral peristylar
gadolinium gd
surfeited gorged sated
